Date,ProductName,Category,QuantitySold,SalePrice,UnitCost
2024-01-01,Boat Airdopes 141,Electronics,5,1299,800
2024-01-01,Generic Type-C Cable,Accessories,12,199,80
2024-01-01,JBL C100SI Earphones,Electronics,2,799,450
2024-01-01,Mi 33W Adapter,Electronics,8,599,300
2024-01-01,Portronics Power Bank,Electronics,3,1499,900
2024-01-01,SanDisk 64GB MicroSD,Storage,14,699,350
2024-01-01,Spigen Armor Case Y20,Accessories,1,599,300
2024-01-01,iPhone 14 Clear Case,Accessories,2,399,150
2024-01-01,Zebronics BT Speaker,Electronics,6,1799,1000
2024-01-01,Redmi Note 12 Cover,Accessories,9,299,100
2024-01-02,Boat Airdopes 141,Electronics,7,1299,800
2024-01-02,Generic Type-C Cable,Accessories,15,199,80
2024-01-02,JBL C100SI Earphones,Electronics,1,799,450
2024-01-02,Mi 33W Adapter,Electronics,10,599,300
2024-01-02,Portronics Power Bank,Electronics,4,1499,900
2024-01-02,SanDisk 64GB MicroSD,Storage,18,699,350
2024-01-02,Spigen Armor Case Y20,Accessories,0,599,300
2024-01-02,iPhone 14 Clear Case,Accessories,3,399,150
2024-01-02,Zebronics BT Speaker,Electronics,8,1799,1000
2024-01-02,Redmi Note 12 Cover,Accessories,12,299,100
2024-01-03,Boat Airdopes 141,Electronics,4,1299,800
2024-01-03,Generic Type-C Cable,Accessories,20,199,80
2024-01-03,JBL C100SI Earphones,Electronics,1,799,450
2024-01-03,Mi 33W Adapter,Electronics,6,599,300
2024-01-03,Portronics Power Bank,Electronics,2,1499,900
2024-01-03,SanDisk 64GB MicroSD,Storage,22,699,350
2024-01-03,Spigen Armor Case Y20,Accessories,1,599,300
2024-01-03,iPhone 14 Clear Case,Accessories,1,399,150
2024-01-03,Zebronics BT Speaker,Electronics,5,1799,1000
2024-01-03,Redmi Note 12 Cover,Accessories,14,299,100
2024-01-04,Boat Airdopes 141,Electronics,9,1299,800
2024-01-04,Generic Type-C Cable,Accessories,11,199,80
2024-01-04,JBL C100SI Earphones,Electronics,3,799,450
2024-01-04,Mi 33W Adapter,Electronics,9,599,300
2024-01-04,Portronics Power Bank,Electronics,5,1499,900
2024-01-04,SanDisk 64GB MicroSD,Storage,16,699,350
2024-01-04,Spigen Armor Case Y20,Accessories,0,599,300
2024-01-04,iPhone 14 Clear Case,Accessories,2,399,150
2024-01-04,Zebronics BT Speaker,Electronics,7,1799,1000
2024-01-04,Redmi Note 12 Cover,Accessories,11,299,100
2024-01-05,Boat Airdopes 141,Electronics,6,1299,800
2024-01-05,Generic Type-C Cable,Accessories,17,199,80
2024-01-05,JBL C100SI Earphones,Electronics,2,799,450
2024-01-05,Mi 33W Adapter,Electronics,11,599,300
2024-01-05,Portronics Power Bank,Electronics,3,1499,900
2024-01-05,SanDisk 64GB MicroSD,Storage,19,699,350
2024-01-05,Spigen Armor Case Y20,Accessories,1,599,300
2024-01-05,iPhone 14 Clear Case,Accessories,4,399,150
2024-01-05,Zebronics BT Speaker,Electronics,9,1799,1000
2024-01-05,Redmi Note 12 Cover,Accessories,13,299,100
